citing_paperid,cited_paperid,year,ref_year,year_diff
W3047784567,W2990244380,2020,2020,0
W4319261535,W4292749517,2023,2022,1
W4220662354,W3104456695,2022,2020,2
W4221161424,W3112705461,2022,2020,2
W3126904748,W3031371307,2021,2020,1
W3126904748,W3031481217,2021,2020,1
W3157014525,W2999954992,2021,2020,1
W4280649450,W3193616607,2022,2021,1
W3186614190,W3006624400,2021,2020,1
W4388212232,W3002514439,2023,2020,3
W3016242958,W3002514439,2020,2020,0
W3164612396,W3126904748,2021,2021,0
W4385334593,W3002514439,2023,2020,3
W3083519894,W3003438997,2020,2020,0
W3083519894,W3090611070,2020,2020,0
W3088663596,W3007289092,2020,2020,0
W4319984909,W3180066967,2023,2021,2
W4323347967,W3082929259,2023,2020,3
W4282839674,W3031481217,2022,2020,2
W3048837390,W3002514439,2021,2020,1
W4388233718,W3157298323,2023,2021,2
W4390109047,W3091300748,2023,2020,3
W4390115217,W3157370420,2023,2021,2
W4365458234,W3207607446,2023,2021,2
W4385341057,W3006624400,2023,2020,3
W4387707675,W3082929259,2023,2020,3
W4388568392,W3007289092,2023,2020,3
W4392201589,W3007289092,2024,2020,4
W4392875384,W4389219195,2024,2023,1
W4393987643,W3087520506,2024,2020,4
W4396645823,W3087520506,2024,2020,4
W4397034368,W3031481217,2024,2020,4
W4402279989,W3108357298,2024,2020,4
W4372780929,W3104456695,2023,2020,3
W4378222289,W4362460292,2023,2023,0
W4385386850,W3110897762,2023,2020,3
W4386737666,W4285796145,2023,2022,1
W4386750282,W3028639067,2023,2020,3
W4388075889,W3181865815,2023,2021,2
W4388223311,W4223933215,2023,2022,1
W4389254004,W3103249619,2023,2020,3
W4389254081,W3103249619,2023,2020,3
W4399118513,W3090611070,2024,2020,4
W4401815612,W4282975246,2024,2022,2
W4405247957,W4362666447,2024,2023,1
W4405893623,W4294266749,2024,2022,2
W4405894726,W3007289092,2024,2020,4
W4212923294,W3110897762,2022,2020,2
W4225009033,W3087520506,2022,2020,2
W4297094586,W3007289092,2022,2020,2
W4385334689,W3193616607,2023,2021,2
W4225254165,W3087520506,2022,2020,2
W4328130271,W3002514439,2023,2020,3
W4328130271,W3098269486,2023,2020,3
W3161152326,W3104456695,2017,2020,-3
W3083736874,W3023112091,2020,2020,0
W4285731519,W3006624400,2022,2020,2
W4312073678,W3002514439,2022,2020,2
W4312073678,W3098269486,2022,2020,2
W4312073678,W3100150241,2022,2020,2
W4312073678,W3112705461,2022,2020,2
W4312073678,W3157298323,2022,2021,1
W4312073678,W3179623808,2022,2022,0
W4312073678,W3215649946,2022,2022,0
W4388249020,W3104456695,2023,2020,3
W4318218827,W3016392224,2023,2020,3
W4318218827,W3033445195,2023,2020,3
W4318218827,W3036216932,2023,2020,3
W4318218827,W3037896324,2023,2020,3
W4306765269,W3161317927,2022,2020,2
W3191403292,W3127814427,2021,2021,0
W4221148557,W3126904748,2022,2021,1
W4285119985,W3033445195,2022,2020,2
W3166383344,W3023596262,2024,2020,4
W4210566847,W3102288906,2022,2020,2
W4292263282,W3007289092,2022,2020,2
W4282915363,W3093156908,2022,2020,2
W4306703440,W3002514439,2022,2020,2
W4307896072,W3025096263,2022,2020,2
W4309470042,W3098269486,2022,2020,2
W4384080217,W4319300024,2023,2023,0
W4385380430,W4309874710,2023,2022,1
W4385743456,W3104456695,2023,2020,3
W4390940280,W3193616607,2024,2021,3
W4392241962,W3112705461,2024,2020,4
W4392241962,W3179623808,2024,2022,2
W4220840754,W3181865815,2022,2021,1
W4391172911,W3103249619,2024,2020,4
W4392234008,W3005209474,2024,2020,4
W3193250911,W3102288906,2021,2020,1
W3199390023,W3082929259,2021,2020,1
W3158771062,W3036271934,2021,2020,1
W4382520353,W3002514439,2023,2020,3
W4311517194,W3000785296,2022,2020,2
W3170555614,W3082929259,2021,2020,1
W4241309878,W3082929259,2021,2020,1
W4394064525,W2990244380,2024,2020,4
W4394967202,W3004438196,2024,2020,4
W4396218431,W4390910347,2024,2024,0
W4396238409,W3108357298,2024,2020,4
W4399354641,W3033445195,2024,2020,4
W4399386846,W4389170306,2024,2023,1
W4399673454,W3007289092,2024,2020,4
W4399680408,W3135164607,2024,2021,3
W4399681119,W4321605416,2024,2023,1
W4400581383,W3082929259,2024,2020,4
W4400584213,W3128893584,2024,2021,3
W4400613736,W3006371779,2024,2020,4
W4401970454,W3023596262,2024,2020,4
W4402013811,W4391847284,2024,2024,0
W4402236512,W3104456695,2024,2020,4
W4403607897,W3082929259,2024,2020,4
W4403613263,W3087520506,2024,2020,4
W4403627065,W3108357298,2024,2020,4
W4403680316,W3091426098,2024,2020,4
W4403684869,W3007289092,2024,2020,4
W4404494484,W4362666447,2024,2023,1
W4404499878,W2999954992,2024,2020,4
W4404499878,W4388336451,2024,2023,1
W4404500844,W3155772624,2024,2021,3
W4404851827,W3082929259,2024,2020,4
W4405168378,W3104456695,2024,2020,4
W4405192997,W4313593941,2024,2023,1
