paperid,doi,year,date,doctype,cited_by_count,is_retracted,reference_count,citation_count,C3,C5,C10,disruption,Atyp_Median_Z,Atyp_10pct_Z,Atyp_Pairs,WSB_mu,WSB_sigma,WSB_Cinf,SB_B,SB_T,team_size,institution_count,patent_count,newsfeed_count,nct_count,nih_count,nsf_count
W3159764901,,2015,2015-09-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4252911927,https://doi.org/10.1017/cbo9781316111291.001,2016,2016-10-17,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3006624400,https://doi.org/10.1136/bmjopen-2019-029855,2020,2020-02-01,article,39,False,55,38,34,38,38,-0.0003433719121775,32.68237951916113,0.6576471796325509,300.0,,,,-0.1111111111111111,1.0,18,21,0,0,3,0,0
W3126904748,https://doi.org/10.1103/physrevresearch.3.l032030,2021,2021-07-30,article,30,False,78,26,26,26,26,-0.0057005042753782,1058.147983530558,174.09665777501093,378.0,,,,0.0,0.0,3,3,0,0,0,0,1
W2920595904,https://doi.org/10.1037/neu0000503,2019,2019-02-28,article,28,False,77,28,15,28,28,-0.0005677584187928,241.8732394366197,4.3234617868311895,561.0,,,,1.1125,3.0,10,3,0,0,0,0,0
W2990244380,https://doi.org/10.1360/scm-2019-0668,2020,2020-09-16,article,28,False,36,28,22,28,28,-0.0076362374175633,212.0,2.8805108515088085,190.0,,,,0.0,0.0,2,1,0,0,0,0,0
W3036216932,https://doi.org/10.1080/09515070.2020.1781596,2020,2020-06-21,article,27,False,21,26,22,26,26,-0.0064672594987873,2.341136811111445,-8.499721467220223,55.0,,,,0.0,0.0,4,3,0,0,0,0,0
W1790511723,https://doi.org/10.1016/j.jana.2015.09.001,2015,2015-09-15,article,25,False,33,25,8,15,25,-0.0021812080536912,71.21949697076268,6.766252893427927,120.0,,,,2.5,1.0,6,3,0,0,0,3,0
W3088470032,https://doi.org/10.1093/sw/swaa036,2020,2020-07-14,article,0,False,2,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4298106065,https://doi.org/10.1016/b978-0-323-91497-0.00077-1,2022,2022-08-07,book-chapter,0,False,55,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2301685385,https://doi.org/10.1093/aje/kwv251,2016,2016-03-02,article,201,False,42,199,81,140,199,-0.0022795987906128,65.39262777405239,8.306693283478923,190.0,,,,-1.3862457868809956,2.0,16,11,0,1,0,0,0
W4380576403,https://doi.org/10.1111/head.14519,2023,2023-06-14,article,2,False,20,2,2,2,2,-0.0002734107997265,5.914979696974302,-2.1046098310159738,55.0,,,,0.0,0.0,7,6,0,0,0,0,0
W4388233674,https://doi.org/10.3390/stats6040075,2023,2023-11-02,article,1,False,10,1,1,1,1,0.0026315789473684,65.350118261723,-3.7189898418425713,28.0,,,,0.0,0.0,4,4,0,0,0,0,0
W4318218827,https://doi.org/10.1002/jclp.23477,2023,2023-01-27,article,12,False,61,12,12,12,12,-0.0016003200640128,49.15384615384615,1.5811388300841895,435.0,,,,0.0,0.0,6,3,0,0,0,0,0
W3115399118,https://doi.org/10.1016/j.celrep.2020.108543,2020,2020-12-01,article,6,False,70,6,4,6,6,-0.0001100654889659,259.525333776175,23.291746529890297,435.0,,,,0.0,0.0,10,6,0,0,0,0,0
W4399849921,https://doi.org/10.1109/tmm.2024.3414660,2024,2024-01-01,article,6,False,0,6,6,6,6,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W3007095275,https://doi.org/10.1080/02770903.2020.1734022,2020,2020-02-22,article,3,False,38,3,2,3,3,-0.0007220216606498,39.61988508460931,-0.4112535342252461,153.0,,,,0.0,0.0,7,7,0,0,0,0,0
W3124725385,https://doi.org/10.1093/rfs/hhx068,2017,2017-06-25,article,45,False,54,41,16,23,36,-0.0009635003400589,736.9307176806491,202.78117672832605,120.0,,,,14.466666666666669,9.0,2,2,0,0,0,0,0
W4229616766,https://doi.org/10.1017/cbo9781139013666.019,2015,2015-06-05,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4240346367,https://doi.org/10.1007/978-3-319-67199-4_614,2017,2017-12-08,book-chapter,0,False,18,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4242084359,https://doi.org/10.1093/jss/fgab026,2021,2021-09-30,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
